Rep,Plant_Number,Growth_time,Placement,Stom_number_1,Stom_number_2,Stom_number_3,Trich_number_1,Trich_number_2,Trich_number_3,Stomata,Trichome
1,113,af,be,124,,,24,,,124,24
1,115,af,ab,75,,,8,,,75,8
1,115,af,be,99,,,14,,,99,14
1,107,af,ab,29,,,6,,,29,6
1,107,af,be,56,,,4,,,56,4
1,111,af,be,155,,,25,,,155,25
1,112,af,ab,89,,,20,,,89,20
1,112,af,be,162,,,17,,,162,17
1,113,af,ab,60,,,19,,,60,19
1,113,af,be,132,,,22,,,132,22
1,115,af,ab,74,,,8,,,74,8
1,115,af,be,98,,,12,,,98,12
1,25,af,ab,77,,,14,,,77,14
1,25,af,be,107,,,16,,,107,16
1,26,af,ab,90,,,24,,,90,24
1,26,af,be,114,,,26,,,114,26
1,27,af,ab,81,,,7,,,81,7
1,27,af,be,106,,,13,,,106,13
1,29,af,ab,77,,,17,,,77,17
1,29,af,be,224,,,26,,,224,26
1,31,af,ab,55,,,12,,,55,12
1,31,af,be,96,,,19,,,96,19
1,34,af,ab,37,,,10,,,37,10
1,34,af,be,107,,,13,,,107,13
1,36,af,ab,72,,,8,,,72,8
1,36,af,be,126,,,13,,,126,13
1,43,af,ab,42,,,8,,,42,8
1,43,af,be,88,,,6,,,88,6
1,44,af,ab,95,,,18,,,95,18
1,44,af,be,151,,,21,,,151,21
1,47,af,ab,88,,,15,,,88,15
1,47,af,be,141,,,14,,,141,14
1,48,af,ab,47,,,8,,,47,8
1,48,af,be,107,,,12,,,107,12
1,50,af,ab,109,,,12,,,109,12
1,50,af,be,119,,,19,,,119,19
1,2,af,ab,74,,,8,,,74,8
1,2,af,be,116,,,11,,,116,11
1,4,af,ab,78,,,6,,,78,6
1,4,af,be,102,,,14,,,102,14
1,7,af,be,147,,,13,,,147,13
1,9,af,ab,70,,,8,,,70,8
1,9,af,be,88,,,10,,,88,10
1,12,af,ab,62,,,6,,,62,6
1,12,af,be,120,,,11,,,120,11
1,14,af,ab,75,,,8,,,75,8
1,14,af,be,101,,,12,,,101,12
1,15,af,ab,85,,,11,,,85,11
1,15,af,be,142,,,23,,,142,23
1,18,af,be,124,,,21,,,124,21
1,19,af,ab,76,,,11,,,76,11
1,19,af,be,99,,,8,,,99,8
1,20,af,ab,115,,,20,,,115,20
1,20,af,be,124,,,16,,,124,16
1,21,af,ab,88,,,10,,,88,10
1,21,af,be,89,,,21,,,89,21
1,23,af,ab,57,,,8,,,57,8
1,23,af,be,151,,,10,,,151,10
1,24,af,ab,51,,,10,,,51,10
1,24,af,be,117,,,14,,,117,14
1,116,af,ab,85,,,24,,,85,24
1,116,af,be,176,,,19,,,176,19
1,118,af,ab,89,,,15,,,89,15
1,118,af,be,214,,,34,,,214,34
1,119,af,ab,102,,,20,,,102,20
1,119,af,be,238,,,28,,,238,28
1,121,af,ab,79,,,19,,,79,19
1,121,af,be,116,,,24,,,116,24
1,124,af,ab,82,,,19,,,82,19
1,124,af,be,190,,,23,,,190,23
1,133,af,ab,54,,,19,,,54,19
1,133,af,be,170,,,34,,,170,34
1,137,af,ab,116,,,20,,,116,20
1,137,af,be,165,,,21,,,165,21
1,142,af,ab,59,,,18,,,59,18
1,142,af,be,161,,,27,,,161,27
1,145,af,ab,86,,,15,,,86,15
1,145,af,be,138,,,24,,,138,24
1,147,af,ab,84,,,25,,,84,25
1,147,af,be,152,,,31,,,152,31
1,159,af,be,199,,,21,,,199,21
1,159,af,ab,148,,,15,,,148,15
1,7,af,ab,79,,,14,,,79,14
1,18,af,ab,119,,,16,,,119,16
