,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site
156,13,29.10934647,1482.015,1377.202707,0.757727526,25.99091667,1200.008667,123,wet,3,2010,S11
157,1,21.34473751,389.4822581,337.121634,0.903984602,26.13791935,1200.007742,124,dry,3,2010,S11
158,2,25.41697466,387.9057,327.5569546,0.904589463,26.04109333,1200.003333,124,dry,3,2010,S11
159,3,20.35445497,290.4215806,242.4115918,0.898865963,26.02129677,1199.999677,124,dry,3,2010,S11
160,4,12.33516775,194.1148667,164.4924116,0.894534348,25.99859333,1200.006,124,dry,3,2010,S11
161,5,3.931420314,97.94643,87.60630986,0.892263916,25.99839667,1199.994,124,dry,3,2010,S11
162,6,-0.519547699,49.94144839,49.76200559,0.891796118,25.99071613,1199.999355,124,dry,3,2010,S11
163,7,26.36252631,387.5871667,323.2555947,0.866232383,25.9869,1200.000667,124,dry,3,2010,S11
164,8,27.02241178,387.3541,321.2926317,0.859232828,26.01254,1199.999333,124,dry,3,2010,S11
165,9,32.86125518,584.0864516,500.2594436,0.850204651,26.00274516,1199.991935,124,dry,3,2010,S11
166,10,33.00755768,783.1344667,692.7188448,0.833526576,26.01132333,1199.987,124,dry,3,2010,S11
167,11,31.77561088,982.7548667,889.1614176,0.822641386,25.98534333,1200.008667,124,dry,3,2010,S11
168,12,31.21312473,1182.127,1082.868014,0.799313238,26.01422333,1199.99,124,dry,3,2010,S11
169,13,29.81612088,1481.423667,1376.903297,0.788924561,26.00118,1200.005667,124,dry,3,2010,S11
170,1,19.04855199,390.2523667,346.1093971,1.004616596,26.21423,1199.996,124,wet,3,2010,S11
171,2,25.41589815,387.7044667,333.5127527,1.041826305,26.06820667,1200.016,124,wet,3,2010,S11
172,3,20.69471979,290.1500323,246.9046392,1.046695149,26.03562258,1200.006774,124,wet,3,2010,S11
173,4,12.77225251,193.8186333,166.8809541,1.052869277,25.99473,1199.986333,124,wet,3,2010,S11
174,5,4.177849483,97.80532,88.19380163,1.053037164,26.00004667,1199.989333,124,wet,3,2010,S11
