Treatment,Rep,Timeline,Fs,Fm',PhiPS2,ETR,PhiCO2,NPQ,A,Year,PrePeak,Site,Fv.Fm.,Region
dry,1,166,227.336,348.725,0.348,175.6,0.0132,-1,12.2,2015,Peak,S15,0.34809377,North
dry,1,170,219.513,336.697,0.348,175.6,0.0141,-1,12.7,2015,Peak,S15,0.348039929,North
dry,1,148,250.731,381.924,0.3435,173.3,0.041,-1,40,2010,Pre,S15,0.343505514,North
dry,3,167,280.1,426.3,0.34,173.42,0.03,,34.3,2015,Peak,S15,0.342950973,North
dry,3,164,270.9,410.8,0.34,171.75,0.03,,33.56,2015,Peak,S15,0.340555015,North
dry,3,170,278.8,419.4,0.34,169.21,0.03,,35.49,2015,Peak,S15,0.33524082,North
dry,3,149,266.1,398.2,0.33,167.4,0.03,,29.14,2010,Pre,S15,0.331742843,North
dry,3,154,236.6,351.4,0.33,164.87,0.03,,27.01,2010,Pre,S15,0.326693227,North
dry,1,154,224.568,320.199,0.2363,119.2,0.0345,0.647,35.2,2010,Pre,S15,0.298661145,North
dry,1,172,224.387,317.716,0.2937,148.2,0.03,-1,28.5,2015,Peak,S15,0.293749764,North
dry,1,169,154.357,217.73,0.2911,146.9,0.0236,-1,23,2015,Peak,S15,0.291062325,North
dry,3,152,280.6,393,0.029,144.31,0.03,,25.26,2010,Pre,S15,0.286005089,North
dry,3,148,265.2,363.9,0.27,136.84,0.02,,25.27,2010,Pre,S15,0.271228359,North
dry,2,172,266.5,360.7,0.26,131.8,0.03,5.91,27.26,2015,Peak,S15,0.261158858,North
dry,2,155,299.8,402.2,0.25,128.48,0.03,5.19,26.02,2010,Pre,S15,0.254599702,North
dry,2,164,282.8,377.2,0.25,126.3,0.03,2.5,28.64,2015,Peak,S15,0.250265111,North
dry,1,149,237.588,313.612,0.2424,122.3,0.0356,0.681,35.8,2010,Pre,S15,0.242414193,North
dry,3,166,271.3,355.1,0.24,119.12,0.03,,26.13,2015,Peak,S15,0.235989862,North
dry,2,170,308.8,400.6,0.23,115.56,0.02,2.01,23.91,2015,Peak,S15,0.229156266,North
dry,2,153,281.4,362.3,0.22,112.71,0.02,5.88,22.11,2010,Pre,S15,0.223295611,North
dry,3,172,270.8,345.7,0.22,109.32,0.02,,21.14,2015,Peak,S15,0.216661846,North
dry,2,169,289.2,364.8,0.21,104.5,0.02,5.83,22.39,2015,Peak,S15,0.207236842,North
dry,1,152,216.16,271.149,0.2028,102.3,0.0272,-1,26.6,2010,Pre,S15,0.202799937,North
