"","...1","X","obs","A","Ca","Ci","gsw","Tleaf","Q","ID","Treatment","Rep","Year","Site","PrePeak","Region"
"110",110,755,1,11.74417548,394.118625,347.2231964,0.539226153,26.2375375,1200.01125,"185","dry",2,2010,"S16","Pre","North"
"111",111,768,1,7.738546835,396.3894194,313.5312225,0.175705065,25.98602258,1200.018387,"185","wet",2,2010,"S16","Pre","North"
"112",112,781,1,11.42543303,394.3140333,342.7403705,0.46700305,25.62664333,1200.016333,"186","dry",2,2010,"S16","Pre","North"
"113",113,794,1,13.157567,392.9055484,355.0994291,0.836805247,25.97159677,1199.99129,"186","wet",2,2010,"S16","Pre","North"
"114",114,807,1,14.43783833,392.7006667,349.7315455,0.745353,26.38402222,1199.983333,"187","wet",2,2010,"S16","Pre","North"
"115",115,820,1,11.79887991,394.3945,328.6732863,0.353060482,26.1396,1200.03625,"189","dry",2,2010,"S16","Pre","North"
"116",116,833,1,11.21703329,394.3611111,346.8806567,0.505597713,26.0151,1200.012222,"189","wet",2,2010,"S16","Pre","North"
"117",117,846,1,7.271021664,396.694625,332.6612455,0.22124854,25.9623625,1199.9775,"190","dry",2,2010,"S16","Pre","North"
"118",118,859,1,7.279201554,396.3784839,319.069574,0.181083117,26.16814194,1199.991935,"190","wet",2,2010,"S16","Pre","North"
"119",119,1067,1,16.50701005,391.7651,339.369772,0.681663265,26.23131333,1200.017,"3","dry",2,2010,"S02","Pre","South"
"120",120,1080,1,11.42819269,393.7459667,354.4597949,0.693289008,26.13860667,1199.999,"3","wet",2,2010,"S02","Pre","South"
"121",121,1132,1,16.69231676,391.6561333,342.3045994,0.743377749,26.08363,1200.027333,"342","dry",2,2011,"S36","Pre","North"
"122",122,1145,1,21.0690769,390.5506333,278.1315449,0.348226299,26.11311333,1200.012333,"342","wet",2,2011,"S36","Pre","North"
"123",123,1158,1,16.82062107,391.7484444,341.3919908,0.718417245,26.18074444,1200.018889,"343","dry",2,2011,"S36","Pre","North"
"124",124,1171,1,11.7016964,393.7482222,358.7655787,0.796675961,26.12292222,1199.974444,"343","wet",2,2011,"S36","Pre","North"
"125",125,1184,1,14.14006928,392.1422222,289.8733401,0.252366755,26.1971,1199.962222,"344","dry",2,2011,"S36","Pre","North"
"126",126,1197,1,13.2015598,393.297625,349.4413204,0.66134838,26.220275,1199.95,"344","wet",2,2011,"S36","Pre","North"
"127",127,1210,1,19.72079097,390.6643,327.8926006,0.646981727,25.76635667,1199.989,"345","dry",2,2011,"S36","Pre","North"
"128",128,1223,1,16.14420974,391.1998667,357.3825691,1.217119416,26.08572667,1199.99,"345","wet",2,2011,"S36","Pre","North"
"129",129,1236,1,14.56608044,392.844,343.5245077,0.631878917,26.1680375,1200.01,"346","dry",2,2011,"S36","Pre","North"
"130",130,1249,1,12.70420434,393.088625,361.4747758,0.996347623,26.3468375,1199.98,"346","wet",2,2011,"S36","Pre","North"
"131",131,1262,1,9.0109139,395.5371935,334.6289676,0.29753367,26.01143548,1200.000323,"348","dry",2,2011,"S36","Pre","North"
"132",132,1275,1,13.62702506,393.1192222,349.0518827,0.683539165,26.12465556,1199.981111,"348","wet",2,2011,"S36","Pre","North"
"133",133,1288,1,12.82779941,393.8332258,330.6312185,0.409370771,25.90530645,1199.982258,"349","dry",2,2011,"S36","Pre","North"
"134",134,1301,1,17.44030511,391.0282667,348.7971875,0.961120856,25.7631,1200.008333,"349","wet",2,2011,"S36","Pre","North"
"135",135,1587,1,14.19465342,393.5919,298.3411496,0.274830711,25.80106,1200.019,"38a","dry",2,2010,"S07","Pre","South"
"136",136,1600,1,18.62051977,391.8469,259.0183614,0.251743911,26.03233333,1200.020333,"38a","wet",2,2010,"S07","Pre","South"
"137",137,1613,1,11.00695607,394.7997742,322.3890771,0.295248868,25.94033226,1199.983548,"38b","dry",2,2010,"S07","Pre","South"
"138",138,1626,1,14.98191164,393.079,317.6278873,0.381967087,25.95371111,1199.991111,"38b","wet",2,2010,"S07","Pre","South"
"139",139,1639,1,9.02603131,395.197375,355.9110311,0.516691303,25.9228375,1199.97625,"39a","dry",2,2010,"S07","Pre","South"
"140",140,1652,1,10.48774577,394.0540968,360.8393602,0.787950383,25.88967419,1200.015806,"39a","wet",2,2010,"S07","Pre","South"
