,X,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site,PrePeak,Region
160,84,6,-0.152194656,49.94932903,49.42386906,0.293340104,25.97053548,1200.001935,121,dry,3,2010,S11,Pre,South
161,97,6,0.109307734,49.79436129,48.10386599,0.473400813,26.00035806,1200.026452,121,wet,3,2010,S11,Pre,South
162,110,6,-0.649456862,50.15654839,52.64026425,0.27635356,25.99653548,1200.013871,122,dry,3,2010,S11,Pre,South
163,123,6,-0.606993962,50.02895333,50.3574515,0.661876249,26.00476,1200.006333,122,wet,3,2010,S11,Pre,South
164,136,6,-1.84813203,50.62809032,59.21874871,0.308220528,25.98284516,1199.999677,123,dry,3,2010,S11,Pre,South
165,149,6,-0.884637366,50.13332258,50.91639089,0.773858306,26.0150129,1200.003871,123,wet,3,2010,S11,Pre,South
166,162,6,-0.519547699,49.94144839,49.76200559,0.891796118,25.99071613,1199.999355,124,dry,3,2010,S11,Pre,South
167,175,6,-0.372456102,49.87130645,49.3397872,1.055152758,25.98454194,1199.999677,124,wet,3,2010,S11,Pre,South
168,188,6,-2.374443675,50.81208333,58.50880958,0.446994148,26.01676,1199.987667,125,dry,3,2010,S11,Pre,South
169,201,6,-2.308369144,50.73355667,55.47940121,0.677278346,25.99461667,1200.000333,125,wet,3,2010,S11,Pre,South
170,396,6,-0.693676233,50.04071935,50.36171288,0.801961763,26.0149871,1200.025161,148,dry,3,2010,S15,Pre,North
171,409,6,-2.209096686,50.72695667,56.70549062,0.520363844,25.98287667,1200.027667,148,wet,3,2010,S15,Pre,North
172,422,6,-2.122071408,50.70682667,56.77489554,0.493524165,26.03343333,1199.992667,149,dry,3,2010,S15,Pre,North
173,435,6,-2.312602477,50.78380333,58.24612861,0.446784048,25.97614667,1199.988667,149,wet,3,2010,S15,Pre,North
174,448,6,-1.880397007,50.58535,54.65550811,0.6136206,25.86557667,1199.994,152,dry,3,2010,S15,Pre,North
175,461,6,-2.14966331,50.74180667,59.02718659,0.375378139,25.99233,1200.017333,152,wet,3,2010,S15,Pre,North
176,474,6,-2.312903022,50.80669032,57.71709303,0.479567351,25.90250968,1199.968387,153,dry,3,2010,S15,Pre,North
177,487,6,-2.057566452,50.68105,57.58488786,0.421962042,25.97791,1200,153,wet,3,2010,S15,Pre,North
178,500,6,-1.819225812,50.54229333,54.06318084,0.669700804,26.0299,1199.989333,154,dry,3,2010,S15,Pre,North
179,513,6,-2.152787698,50.66345806,54.97041091,0.681707112,26.02169355,1200.028065,154,wet,3,2010,S15,Pre,North
180,526,6,-0.504448791,50.01457419,50.20057897,0.586889512,26.00712258,1199.995484,155,dry,3,2010,S15,Pre,North
181,539,6,-2.294150972,50.71967,55.42693208,0.678801098,25.99113667,1200.000333,155,wet,3,2010,S15,Pre,North
182,708,6,-1.947399213,50.67450667,65.03641055,0.20153581,25.97768667,1199.974333,183,dry,3,2010,S16,Pre,North
183,721,6,-2.006872082,50.67737333,58.58155534,0.363043906,25.97688333,1200.004333,183,wet,3,2010,S16,Pre,North
184,734,6,-2.221712891,50.7340129,56.31188176,0.560529024,26.1723,1199.993226,184,dry,3,2010,S16,Pre,North
185,747,6,-2.22399184,50.71410333,56.73343118,0.520141381,25.97557667,1199.991,184,wet,3,2010,S16,Pre,North
186,760,6,0.01433521,49.87193871,48.4635277,0.36018552,25.98856129,1200.001935,185,dry,3,2010,S16,Pre,North
187,773,6,0.090777474,49.82109333,48.17537521,0.440398087,25.99569,1199.987667,185,wet,3,2010,S16,Pre,North
188,786,6,-2.008709396,50.62036667,55.11387218,0.60823982,26.00280333,1199.992667,186,dry,3,2010,S16,Pre,North
189,799,6,-2.216660999,50.70618,55.95487441,0.591309209,25.98819333,1199.996667,186,wet,3,2010,S16,Pre,North
190,812,6,-1.432137153,50.47502258,58.5257341,0.247250829,25.99572903,1199.996452,187,dry,3,2010,S16,Pre,North
191,825,6,-0.851836685,50.2291,54.03746572,0.270860424,26.00084839,1200.004516,187,wet,3,2010,S16,Pre,North
192,838,6,-0.956629648,50.22048065,52.9848,0.390449376,25.9865,1199.985484,189,dry,3,2010,S16,Pre,North
193,851,6,-0.437418946,50.02377742,50.34939966,0.45155224,25.99823548,1199.987742,189,wet,3,2010,S16,Pre,North
194,864,6,-0.448030226,50.0168,50.14204513,0.540304187,25.98906452,1199.988065,190,dry,3,2010,S16,Pre,North
