ID,Treatment,Growth_time,Placement,Stom_number_1,Stom_number_2,Stom_number_3,Stomata,Trich_number_1,Trich_number_2,Trich_number_3,Trichome,Guard_Cell_Length_1,Guard_Cell_Length_2,Guard_Cell_Length_3,Guard_Cell_Length_4,Guard_Cell_Length_5,Guard_Cell_Length_6,Guard_Cell_Length_7,Guard_Cell_Length_8,Guard_Cell_Length_9,Guard_Cell_Length_10,Guard_Cell_Length_11,Guard_Cell_Length_12,Guard_Cell_Length_13,Guard_Cell_Length_14,Guard_Cell_Length_15,Avg_Guard_Cell_Length,Notes
145B,w,be,ab,75,75,70,73.3,13,8,10,10.3,98.25,80.176,79.057,76.971,83.023,97.457,85.89,100.89,84.336,99.443,101.966,85.094,98.884,90.006,91.495,90.19586667,
145B,w,be,be,72,76,,74,23,18,,20.5,104.626,95.318,104.843,87.295,92.071,98.52,100.692,93.168,83.168,90.136,89.492,81.68,80.257,83.975,82.937,91.21186667,Highlighted have no photos
146A,w,be,ab,47,57,38,47.3,7,10,6,7.7,92.612,89.334,94.145,94.784,92.436,87.967,86.312,88.865,95.765,77.473,108.724,85.288,89.781,96.306,86.47,91.08413333,
146A,w,be,be,68,70,,69,11,10,,10.5,89.463,89.002,76.655,81.524,74.071,83.385,79.12,86.659,93.698,88.23,97.637,94.679,102.728,84.161,102.396,88.2272,Highlighted have no photos
149,w,be,ab,51,62,51,54.7,4,4,6,4.7,96.471,94.465,80.056,114.11,96.07,99.199,88.722,100.21,116.924,89.613,98.673,89.04,102.603,91.534,89.109,96.45326667,
153,w,be,ab,44,35,38,39,3,2,4,3,119.954,95.725,115.135,107.638,77.01,135.22,109.551,106.892,91.395,94.997,101.072,104.714,108.17,90.437,95.516,103.5617333,
153,w,be,be,80,84,96,86.7,6,4,6,5.3,118.68,97.529,96.934,86.954,111.395,105.785,103.848,91.761,92.31,108.455,113.031,101.833,104.087,103.693,90.2,101.7663333,
190,w,be,ab,48,47,42,45.7,7,8,7,7.3,89,93.501,80.946,103.084,76.951,86.257,98.298,98.509,93.023,84.445,78.411,92.612,99.995,84.001,95.313,90.28973333,
190,w,be,be,103,94,114,103.7,13,13,14,13.3,97.749,79.338,88.549,108.724,66.113,95.447,88.132,87.712,105.79,91.258,81.86,93.301,88.25,72.449,80.854,88.3684,
219,w,be,ab,45,41,40,42,10,8,7,8.3,79.003,78.365,86.485,200.779,75.786,85.907,80.543,75.755,83.509,96.437,84.341,71.848,77.621,71.976,83.563,88.79453333,
219,w,be,be,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,Obscured
346,w,be,ab,56,52,44,50.7,8,7,7,7.3,104.977,100.063,91.686,92.91,81.244,97.378,85.581,82.638,74.907,75.994,63.55,80.649,71.761,94.151,86.328,85.5878,
346,w,be,be,120,139,138,132.3,11,12,13,12,88.203,85.595,93.417,81.211,78.644,77.886,68.658,65.465,67.789,90.781,86.721,76.453,70.543,85.579,84.685,80.10866667,
348,w,be,ab,44,52,45,47,4,7,6,5.7,92.888,92.319,100.744,90.667,84.509,100.14,95.894,99.731,83.793,89.365,104.597,92.261,89.022,94.234,84.352,92.96773333,
348,w,be,be,85,93,84,87.3,9,12,10,10.3,105.667,86.779,96.831,81.427,85.316,86.617,88.437,88.363,81.487,88.107,107.52,94.279,73.06,84.84,108.434,90.4776,
149,w,be ,be,106,96,107,103,6,5,6,5.7,111.141,106.042,113.395,114.626,95.692,95.033,107.081,100.722,114.07,95.079,117.644,96.255,98.351,107.056,103.74,105.0618,
f,,,,,,,,,,,,,,,,,,,,,,,,,,,,
